Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolecularFormula,OC,HC,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Kelly_100,Kelly_101,Kelly_102,Kelly_103,Kelly_134,Kelly_135,Kelly_136,Kelly_137,Kelly_138,Kelly_139,Kelly_21,Kelly_22,Kelly_23,Kelly_24,Kelly_25,Kelly_26,Kelly_27,Kelly_28,Kelly_29,Kelly_30,Kelly_68,Kelly_69,Kelly_70,Kelly_71,Kelly_72,Kelly_73,Kelly_98,Kelly_99
287.056117222222,15.0,12.0,6.0,0.0,0,0.0,0.0,0,CHO,Condensed hydrocarbon,288.063393689102,-0.0193405417663343,1,C15H12O6,0.4,0.8,0.0,60.3,10.0,4.0,0.4444444444444444,0.5833333333333334,4.0,4175707.8,5314819.5,5364659.5,5529968.0,4455763.0,5133053.0,4360238.0,2466521.8,4086854.0,3566216.8,0.0,1606639.4,1315680.4,1795215.0,1552339.0,1473754.8,1245519.1,1033920.5,1069278.0,1292816.8,6375515.5,5760429.0,5709007.0,3193712.5,5618194.5,4524022.0,5935082.0,5618786.5
287.077265316547,12.0,16.0,8.0,0.0,0,0.0,0.0,0,CHO,Tannin,288.084541783427,-0.0843260339612437,1,C12H16O8,0.6666666666666666,1.3333333333333333,0.0,60.3,5.0,-3.0,-0.75,0.125,-3.0,3295581.8,3201796.8,3233717.0,4097392.8,2778964.5,3193342.8,3310383.5,4138459.3,3818055.5,3389834.3,0.0,0.0,0.0,1533328.3,1328852.1,1042651.9,1129552.8,0.0,0.0,1331985.6,5314141.5,3498926.3,3416785.0,7316338.5,3775508.0,4446199.0,3639787.5,3496035.5
287.092517970588,16.0,16.0,5.0,0.0,0,0.0,0.0,0,CHO,Lignin,288.099794437468,-0.0722436066440467,1,C16H16O5,0.3125,1.0,-0.375,70.9875,9.0,4.0,0.36363636363636365,0.48148148148148145,4.0,0.0,0.0,0.0,1158513.4,0.0,0.0,1195696.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1059029.0,0.0,0.0,0.0,0.0,0.0,1136990.8,1184686.9,1070418.5,1132019.9,1193237.3,1134840.1,1243628.6,0.0
287.11364338,13.0,20.0,7.0,0.0,0,0.0,0.0,0,CHO,Protein,288.12091984688,-0.0584830142502291,1,C13H20O7,0.5384615384615384,1.5384615384615385,-0.4615384615384617,73.45384615384616,4.0,-3.0,-0.5,0.05263157894736842,-3.0,1899105.1,1766535.1,1619640.0,1687666.4,1749719.3,1718785.5,2305586.8,2121438.0,1874761.9,1722508.6,0.0,1138290.6,1352037.1,1216786.4,1312982.1,1312733.8,1130579.3,1103812.6,1378402.0,1483411.3,3742304.8,2424496.0,2579668.5,4219766.0,2616086.8,3324921.3,1824494.3,2091109.6
287.150028984962,14.0,24.0,6.0,0.0,0,0.0,0.0,0,CHO,Protein,288.157305451842,-0.0588180209011194,1,C14H24O6,0.42857142857142855,1.7142857142857142,-0.8571428571428568,84.72857142857141,3.0,-3.0,-0.375,0.0,-3.0,2136932.5,1999369.4,1117115.0,0.0,1166042.0,1193860.4,1136437.8,1030240.5,0.0,0.0,2000144.4,1505780.6,1409000.3,1717140.4,1486680.1,1434847.6,1031893.9,1358663.3,1959652.5,2253844.8,3150436.3,2607281.8,2511320.3,2030201.3,1760921.5,2179323.3,1694065.0,2361959.8
287.186417591837,15.0,28.0,5.0,0.0,0,0.0,0.0,0,CHO,Protein,288.193694058717,-0.069569241365565,1,C15H28O5,0.3333333333333333,1.8666666666666667,-1.2000000000000002,94.5,2.0,-3.0,-0.3,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675111.5,0.0,1069019.8,0.0,0.0,1023357.4,0.0,0.0
287.222786235772,16.0,32.0,4.0,0.0,0,0.0,0.0,0,CHO,Lipid,288.230062702652,-0.0110573209137406,1,C16H32O4,0.25,2.0,-1.5,103.05,,-3.0,-0.25,0.0,-3.0,3551595.0,3006989.8,3877824.8,1647991.3,2728031.3,2657290.0,2230076.0,1195749.6,3660369.0,2193300.0,1494291.5,2299640.8,2020334.4,3529368.5,1447132.0,2192995.5,1967067.1,3254220.5,2492649.5,2441751.8,5566571.0,4874677.5,8591583.0,3253376.0,3586591.0,5191679.5,3056118.5,3822955.8
288.051409153846,14.0,11.0,6.0,1.0,0,0.0,0.0,0,CHON,Condensed hydrocarbon,289.058685620726,-0.167889181881838,1,C14H11O6N,0.42857142857142855,0.7857142857142857,0.2857142857142856,52.15714285714286,10.0,4.0,0.42857142857142855,0.6,3.0,0.0,1364544.8,1717891.6,0.0,0.0,1464267.0,1216257.8,0.0,1294726.5,1060939.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113400.9,0.0,1523761.1,1306317.5,0.0,0.0,0.0,1586587.1
288.072479777778,11.0,15.0,8.0,1.0,0,0.0,0.0,0,CHON,Tannin,289.079756244658,0.0353495602098957,1,C11H15O8N,0.7272727272727273,1.3636363636363635,0.36363636363636376,49.93636363636363,5.0,-3.0,-2.0,0.0,-4.0,1605432.4,1153666.0,1248901.3,0.0,1160349.4,0.0,1457795.5,1074977.5,997895.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025466.9,0.0,1330483.1,0.0,0.0,0.0,1341494.6,1143964.4
288.998994606061,13.0,6.0,8.0,0.0,0,0.0,0.0,0,CHO,Condensed hydrocarbon,290.006271072941,-0.013460193667553,1,C13H6O8,0.6153846153846154,0.46153846153846156,0.7692307692307692,38.37692307692308,11.0,3.0,0.6,0.7777777777777778,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515558.6,0.0,0.0,0.0,1030353.8
